property_id,property_address,suburb,postcode,property_type,sale_price_aud,bedrooms,bathrooms,parking,listed_area_m2,sale_date,sale_year,sale_month,missing_feature_count,source_page,source_url,,,,,,,verification_status
M026,"32/20 Bonner Avenue, Manly, NSW 2095",Manly,2095,Apartment,5250000,3,2,1,,6/29/2026,2026,6,1,Manly sold listings page 2,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095/list-2",,,,,,,Verified
M027,"21/140 Addison Road, Manly, NSW 2095",Manly,2095,Apartment,5385000,3,2,2,173,6/26/2026,2026,6,0,Manly sold listings page 2,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095/list-2",,,,,,,Verified
M028,"4/51C Kangaroo Street, Manly, NSW 2095",Manly,2095,Unit,990000,1,1,1,,6/26/2026,2026,6,1,Manly sold listings page 2,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095/list-2",,,,,,,Verified
M029,"1/8 Ocean Road, Manly, NSW 2095",Manly,2095,Apartment,2450000,3,2,1,103,6/25/2026,2026,6,0,Manly sold listings page 2,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095/list-2",,,,,,,Verified
M030,"13/49 Osborne Road, Manly, NSW 2095",Manly,2095,Apartment,3175000,3,2,1,126,6/17/2026,2026,6,0,Manly sold listings page 2,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095/list-2",,,,,,,Verified
M031,"12/14 Malvern Avenue, Manly, NSW 2095",Manly,2095,Apartment,1253000,1,1,1,,6/13/2026,2026,6,1,Manly sold listings page 2,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095/list-2",,,,,,,Verified
M032,"5/19a Addison Road, Manly, NSW 2095",Manly,2095,Townhouse,6300000,3,2,2,,6/12/2026,2026,6,1,Manly sold listings page 2,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095/list-2",,,,,,,Verified
M033,"69 Stuart Street, Manly, NSW 2095",Manly,2095,House,9000000,3,1,2,277.4,6/9/2026,2026,6,0,Manly sold listings page 2,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095/list-2",,,,,,,Verified
M034,"1/23 Quinton Road, Manly, NSW 2095",Manly,2095,Apartment,2510000,3,2,1,128,6/6/2026,2026,6,0,Manly sold listings page 2,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095/list-2",,,,,,,Verified
P001,"231K/2 Morton Street, Parramatta, NSW 2150",Parramatta,2150,Apartment,640000,2,2,1,99,10/24/2025,2025,10,0,Parramatta sold listings page 1,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-1,,,,,,,Verified
P002,"172/13-15 Hassall Street, Parramatta, NSW 2150",Parramatta,2150,Apartment,597000,2,2,1,110,10/24/2025,2025,10,0,Parramatta sold listings page 1,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-1,,,,,,,Verified
P003,"4/29C Great Western Highway, Parramatta, NSW 2150",Parramatta,2150,Unit,420000,2,1,1,,10/24/2025,2025,10,1,Parramatta sold listings page 1,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-1,,,,,,,Verified
P004,"16/43 Pemberton Street, Parramatta, NSW 2150",Parramatta,2150,Townhouse,1225000,3,2,2,,10/23/2025,2025,10,1,Parramatta sold listings page 1,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-1,,,,,,,Verified
P005,"44/23 Good Street, Parramatta, NSW 2150",Parramatta,2150,Apartment,745000,2,2,2,137,10/23/2025,2025,10,0,Parramatta sold listings page 1,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-1,,,,,,,Verified
P006,"7/97 Great Western Highway, Parramatta, NSW 2150",Parramatta,2150,Unit,540000,2,1,1,110,10/21/2025,2025,10,0,Parramatta sold listings page 1,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-1,,,,,,,Verified
P007,"6/7-9 Robertson Street, Parramatta, NSW 2150",Parramatta,2150,Unit,721000,2,1,1,,10/20/2025,2025,10,1,Parramatta sold listings page 1,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-1,,,,,,,Verified
P008,"2116/1A Morton Street, Parramatta, NSW 2150",Parramatta,2150,Apartment,645000,2,2,1,165,10/20/2025,2025,10,0,Parramatta sold listings page 1,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-1,,,,,,,Verified
P009,"1903/330 Church Street, Parramatta, NSW 2150",Parramatta,2150,Apartment,568000,1,1,1,,10/20/2025,2025,10,1,Parramatta sold listings page 1,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-1,,,,,,,Verified
P010,"6/109-113 George Street, Parramatta, NSW 2150",Parramatta,2150,Apartment,600000,2,2,1,111,10/18/2025,2025,10,0,Parramatta sold listings page 1,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-1,,,,,,,Verified
P011,"4206/330 Church Street, Parramatta, NSW 2150",Parramatta,2150,Apartment,770000,2,2,1,,10/17/2025,2025,10,1,Parramatta sold listings page 1,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-1,,,,,,,Verified
P012,"2503/1A Morton Street, Parramatta, NSW 2150",Parramatta,2150,Apartment,635000,2,2,1,,10/17/2025,2025,10,1,Parramatta sold listings page 1,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-1,,,,,,,Verified
P013,"1/42 Grose Street, Parramatta, NSW 2150",Parramatta,2150,Apartment,468000,2,1,1,,10/17/2025,2025,10,1,Parramatta sold listings page 1,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-1,,,,,,,Verified
P014,"303D/1 Broughton Street, Parramatta, NSW 2150",Parramatta,2150,Apartment,670000,2,2,1,102,10/16/2025,2025,10,0,Parramatta sold listings page 1,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-1,,,,,,,Verified
P015,"4/5-7 Grose Street, Parramatta, NSW 2150",Parramatta,2150,Unit,455000,1,1,1,81,10/16/2025,2025,10,0,Parramatta sold listings page 1,https://www.realestate.com.au/sold/in-parramatta%2B2150/list-1,,,,,,,Verified
